original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short_desc,start_dt,end_dt,days_remaining,amt,tot_payments,orig_vendor,exempt_status,adv_or_exempt,profit_status,
1420241,142024102,MAYOR,"Gray Global Advisors, LLC",General Consultant Services,Federal Lobbying Services,7/1/2015,6/30/2016,0,100000,91666.63,"Gray Global Strategies, Inc.",1,ADVERTISED,For Profit,
1420278,142027802,MAYOR,"Health Federation of Philadelphia, Inc",General Consultant Services,Language Access Services,7/1/2015,6/30/2016,0,50000,0,"Health Federation of Philadelphia, Inc",1,ADVERTISED,Non Profit,
1420242,142024202,MAYOR,Holland & Knight LLP,General Consultant Services,Federal Lobbying Services,7/1/2015,6/30/2016,0,100000,83333.3,Holland & Knight LLP,1,ADVERTISED,For Profit,
MPXX16000327,MPXX16000327,MAYOR,"JPG Photography, LLC",Miscellaneous Order,Photography for Comms Off,1/27/2016,6/30/2016,0,20000,13142,"JPG Photography, LLC",102,EXEMPT,For Profit,
1420274,142027403,MAYOR,"Language Line Services, Inc",General Consultant Services,Language Access Services,7/1/2015,6/30/2016,0,250000,112064.43,"Language Line Services, Inc",1,ADVERTISED,For Profit,
1420294,142029402,MAYOR,Language Services Associates,General Consultant Services,Language Acess Services,7/1/2015,6/30/2016,0,350000,220946.1,Language Services Associates,1,ADVERTISED,For Profit,
1420240,142024002,MAYOR,Loeper & Associates,General Consultant Services,State Lobbying Services,7/1/2015,6/30/2016,0,66000,55000,Loeper & Associates,1,ADVERTISED,For Profit,
1420277,142027702,MAYOR,Nationalities Service Center,General Consultant Services,Language Access Services,7/1/2015,6/30/2016,0,45000,17096.04,Nationalities Service Center,1,ADVERTISED,Non Profit,
1620337,1620337,MAYOR,"OpportunitySpace, Inc.",General Consultant Services,FastFWD Community Stabili,1/1/2016,12/31/2016,183,45000,0,"OpportunitySpace, Inc.",1,ADVERTISED,For Profit,
1420279,142027902,MAYOR,Rosales Communications,General Consultant Services,Language Access Services,7/1/2015,6/30/2016,0,40000,1628,Rosales Communications,1,ADVERTISED,For Profit,
1420263,142026302,MAYOR,"The Kinser Group, Inc.",General Consultant Services,State Lobbying Contract,7/1/2015,6/30/2016,0,120000,130000,"The Kinser Group, Inc.",1,ADVERTISED,For Profit,
1620412,1620412,MAYORS OFFICE COMMUNITY SRV.,Benefits Data Trust,General Consultant Services,Benefits Access,7/1/2015,6/30/2016,0,1667825,1015799.19,Benefits Data Trust,9,EXEMPT,Non Profit,
MPXX16000212,MPXX16000212,MAYORS OFFICE COMMUNITY SRV.,Brigette Indelicato,Miscellaneous Order,Design for Advertising,9/1/2015,6/30/2016,0,4000,2850,Brigette Indelicato,102,EXEMPT,For Profit,
MPXX16000376,MPXX16000376,MAYORS OFFICE COMMUNITY SRV.,"Center for Employment Opportunities, Inc.",Miscellaneous Order,Workforce Training,7/1/2015,6/30/2016,0,25000,0,"Center for Employment Opportunities, Inc.",102,EXEMPT,Non Profit,
MPXX16000290,MPXX16000290,MAYORS OFFICE COMMUNITY SRV.,"Christie Balka Consulting, LLC",Miscellaneous Order,Early Learning Specialist,7/6/2015,6/30/2016,0,17356.18,16282.45,"Christie Balka Consulting, LLC",102,EXEMPT,For Profit,
MPXX16000253,MPXX16000253,MAYORS OFFICE COMMUNITY SRV.,Clarifi,Miscellaneous Order,"Identify, Design and Eval",7/1/2015,6/30/2016,0,20000,20000,Clarifi,102,EXEMPT,Non Profit,
1420583,142058302,MAYORS OFFICE COMMUNITY SRV.,Community Legal Services,Legal Services,Legal Services,1/1/2016,12/31/2016,183,0,0,Community Legal Services,9,EXEMPT,Non Profit,
MPXX16000261,MPXX16000261,MAYORS OFFICE COMMUNITY SRV.,Energy Coordinating Agency of Phila Inc,Miscellaneous Order,Financial Empowerment,7/1/2015,6/30/2016,0,18000,18000,Energy Coordinating Agency of Phila Inc,102,EXEMPT,Non Profit,
1620191,1620191,MAYORS OFFICE COMMUNITY SRV.,Homeless Advocacy Project,General Consultant Services,SOAR Project,7/1/2015,6/30/2016,0,129000,93000,Homeless Advocacy Project,9,EXEMPT,Non Profit,
MPXX16000269,MPXX16000269,MAYORS OFFICE COMMUNITY SRV.,"Intersection Media, LLC",Miscellaneous Order,Advertising Services,10/19/2015,6/30/2016,0,12925,12925,"Intersection Media, LLC",102,EXEMPT,For Profit,
MPXX16000333,MPXX16000333,MAYORS OFFICE COMMUNITY SRV.,Isuroon,Miscellaneous Order,Financial Literacy,1/1/2016,6/30/2016,0,2100,2100,Isuroon,102,EXEMPT,Non Profit,
1420424,142042402,MAYORS OFFICE COMMUNITY SRV.,JEVS Human Services,General Consultant Services,Work Ready Program,10/1/2015,9/30/2016,91,7057018,3899737,JEVS Human Services,9,EXEMPT,Non Profit,
MPXX16000265,MPXX16000265,MAYORS OFFICE COMMUNITY SRV.,"KM Investments, LLC",Miscellaneous Order,Printing,11/10/2015,6/30/2016,0,2871,2824,"KM Investments, LLC",102,EXEMPT,For Profit,
MPXX16000215,MPXX16000215,MAYORS OFFICE COMMUNITY SRV.,Maskar Design Inc,Miscellaneous Order,Graphic Design Services,9/8/2015,6/30/2016,0,32000,18300,Maskar Design Inc,102,EXEMPT,For Profit,
MPXX16000260,MPXX16000260,MAYORS OFFICE COMMUNITY SRV.,"Metis Associates, Inc.",Miscellaneous Order,Program Evaluation Design,7/1/2015,6/30/2016,0,9871,9871,"Metis Associates, Inc.",102,EXEMPT,For Profit,
1620135,1620135,MAYORS OFFICE COMMUNITY SRV.,Pennsylvania Department of Transportation,Inter-Governmental Agreements,ID Philly Project,7/1/2015,6/30/2016,0,30000,30000,Pennsylvania Department of Transportation,8,EXEMPT,Non Profit,
MPXX16000216,MPXX16000216,MAYORS OFFICE COMMUNITY SRV.,Sage Communications Partners,Miscellaneous Order,Communications Strategy,7/1/2015,6/30/2016,0,32000,29562.5,Sage Communications Partners,102,EXEMPT,For Profit,
MPXX16000186,MPXX16000186,MAYORS OFFICE COMMUNITY SRV.,Titan Outdoor LLC,Miscellaneous Order,Advertising Services,10/19/2015,6/30/2016,0,0,0,Titan Outdoor LLC,102,EXEMPT,For Profit,
1520297,152029701,MAYORS OFFICE COMMUNITY SRV.,"United Polish American Social Services, Inc.",General Consultant Services,Information and Referral,7/1/2015,6/30/2016,0,92017,92017,"United Polish American Social Services, Inc.",9,EXEMPT,Non Profit,
1620379,1620379,MAYORS OFFICE COMMUNITY SRV.,Urban Affairs Coalition,General Consultant Services,Tax Preparation  Sites,7/1/2015,6/30/2016,0,70000,70000,Urban Affairs Coalition,9,EXEMPT,Non Profit,
MPXX16000195,MPXX16000195,OFFICE OF ARTS & CULTURE,Masayuki Nagase,Miscellaneous Order,Lock Street Bridge Art Pr,9/3/2015,6/30/2016,0,15000,15000,Masayuki Nagase,102,EXEMPT,For Profit,
1520240,152024001,OFFICE OF ARTS & CULTURE,Philadelphia Cultural Fund Inc.,General Consultant Services,Fund Art Organizations,7/1/2015,6/30/2016,0,3140000,3140000,Philadelphia Cultural Fund Inc.,8,EXEMPT,Non Profit,
1520151,152015102,OFFICE OF ARTS & CULTURE,Philadelphia Industrial Development Corporation,General Consultant Services,Consulting Services,7/1/2015,6/30/2016,0,459900,459900,Philadelphia Industrial Development Corporation,8,EXEMPT,Non Profit,
1620115,1620115,OFFICE OF BH-MR SERVICES,"Achara Consulting, Inc.",General Consultant Services,BH System Transformation,7/15/2015,6/30/2016,0,120000,120000,"Achara Consulting, Inc.",1,ADVERTISED,For Profit,
1520255,152025501,OFFICE OF BH-MR SERVICES,African Cultural Alliance of North America,Behavioral Health-MR Services,Community Coalition,7/1/2015,6/30/2016,0,50000,43123.05,African Cultural Alliance of North America,1,ADVERTISED,Non Profit,
1320515,132051503,OFFICE OF BH-MR SERVICES,Albert Einstein Medical Center,Behavioral Health-MR Services,MH Comm. Residential Serv,7/1/2015,6/30/2016,0,5599181,5319221.95,Albert Einstein Medical Center,9,EXEMPT,Non Profit,
1320543,132054303,OFFICE OF BH-MR SERVICES,Bancroft Neurohealth,Behavioral Health-MR Services,IDS Interim Care Services,7/1/2015,6/30/2016,0,890430,489258.39,Bancroft Neurohealth,9,EXEMPT,Non Profit,
1620216,162021601,OFFICE OF BH-MR SERVICES,Black Women's Health Alliance,Behavioral Health-MR Services,Drug and Alcohol Services,7/1/2015,6/30/2016,0,44578,24280,Black Women's Health Alliance,9,EXEMPT,Non Profit,
1520419,152041901,OFFICE OF BH-MR SERVICES,CBH - Community Behavioral Health,Behavioral Health-MR Services,Behavioral Health Service,1/1/2016,12/31/2016,183,1100000000,12832828.12,CBH - Community Behavioral Health,8,EXEMPT,Non Profit,
1320506,132050604,OFFICE OF BH-MR SERVICES,Catholic Social Services,Behavioral Health-MR Services,Drug and Alcohol Services,7/1/2015,6/30/2016,0,494549,249655,Catholic Social Services,9,EXEMPT,Non Profit,
MPXX16000018,MPXX16000018,OFFICE OF BH-MR SERVICES,Centre County Mental Health/Mental Retardation-Drug &Alcohol,Miscellaneous Order,Mental Health Services,7/1/2015,6/30/2016,0,13500,8790,Centre County Mental Health/Mental Retardation-Drug &Alcohol,102,EXEMPT,Non Profit,
1620099,1620099,OFFICE OF BH-MR SERVICES,Coelho Consulting INC,Computer and Information Svcs,Financial Management Svcs,7/20/2015,6/30/2016,0,125460,32482.5,Coelho Consulting INC,1,ADVERTISED,For Profit,
1320688,132068804,OFFICE OF BH-MR SERVICES,Community Anti-Drug Coalitions of America,General Consultant Services,Drug and Alcohol Services,7/1/2015,6/30/2016,0,100000,38315.48,Community Anti-Drug Coalitions of America,1,ADVERTISED,Non Profit,
1620160,1620160,OFFICE OF BH-MR SERVICES,Council of Spanish Speaking Organizations Inc,Behavioral Health-MR Services,Drug and Alcohol Services,7/1/2015,6/30/2016,0,500000,475000,Council of Spanish Speaking Organizations Inc,9,EXEMPT,Non Profit,
1320507,132050703,OFFICE OF BH-MR SERVICES,Defender Association of Philadelphia,Legal Services,Drug and Alcohol Services,7/1/2015,6/30/2016,0,267776,184609,Defender Association of Philadelphia,9,EXEMPT,Non Profit,
1320542,132054203,OFFICE OF BH-MR SERVICES,Devereux Foundation,Behavioral Health-MR Services,IDS Interim Care Services,7/1/2015,6/30/2016,0,887202,651387.88,Devereux Foundation,9,EXEMPT,Non Profit,
1520446,152044601,OFFICE OF BH-MR SERVICES,Drexel University,Behavioral Health-MR Services,Autism Project,7/1/2015,6/30/2016,0,100000,0,Drexel University,9,EXEMPT,Non Profit,
1520480,152048001,OFFICE OF BH-MR SERVICES,Drexel University,Behavioral Health-MR Services,Healing Hurt People,7/1/2015,6/30/2016,0,1498003,594304.04,Drexel University,9,EXEMPT,Non Profit,
1520483,152048301,OFFICE OF BH-MR SERVICES,Drexel University,Behavioral Health-MR Services,Drug and Alcohol Services,7/1/2015,6/30/2016,0,250000,84965,Drexel University,9,EXEMPT,Non Profit,
1320611,132061103,OFFICE OF BH-MR SERVICES,Elwyn,Behavioral Health-MR Services,IDS Interim Care Services,7/1/2015,6/30/2016,0,302963,267975.24,Elwyn,9,EXEMPT,Non Profit,
MPXX16000079,MPXX16000079,OFFICE OF BH-MR SERVICES,Law Office of Michelle Conner,Miscellaneous Order,MENTAL HEALTH SERVICES,7/1/2015,6/30/2016,0,30000,7097.5,Law Office of Michelle Conner,102,EXEMPT,For Profit,
MPXX16000076,MPXX16000076,OFFICE OF BH-MR SERVICES,"Leon D. Goodman, Esq",Miscellaneous Order,MENTAL HEALTH SERVICES,7/1/2015,6/30/2016,0,30000,9128,"Leon D. Goodman, Esq",102,EXEMPT,Non Profit,
1520253,152025301,OFFICE OF BH-MR SERVICES,Lutheran Children and Family Service of Eastern PA,Behavioral Health-MR Services,Community Coalition,7/1/2015,6/30/2016,0,75000,52218.77,Lutheran Children and Family Service of Eastern PA,1,ADVERTISED,Non Profit,
1320544,132054403,OFFICE OF BH-MR SERVICES,"Melmark, Inc.",Behavioral Health-MR Services,IDS Interim Care Services,7/1/2015,6/30/2016,0,199342,151643.34,"Melmark, Inc.",9,EXEMPT,Non Profit,
1320517,132051703,OFFICE OF BH-MR SERVICES,Mercy Catholic Medical Center,Behavioral Health-MR Services,MH Ermergency Services,7/1/2015,6/30/2016,0,689023,654571.85,Mercy Catholic Medical Center,9,EXEMPT,Non Profit,
1320620,132062003,OFFICE OF BH-MR SERVICES,"Mitchell & Titus, LLP",Accounting and Auditing Svcs,Accounting/Auditing Servi,1/1/2016,12/31/2016,183,129500,129500,"Mitchell & Titus, LLP",1,ADVERTISED,For Profit,
MPXX16000228,MPXX16000228,OFFICE OF BH-MR SERVICES,Montgomery County -Pennsylvania,Miscellaneous Order,MENTAL HEALTH SERVICES,7/1/2015,6/30/2016,0,30000,10000,Montgomery County -Pennsylvania,103,EXEMPT,Non Profit,
1620077,1620077,OFFICE OF BH-MR SERVICES,Partnership for Community Supports,Behavioral Health-MR Services,EI Service Coordination,7/15/2015,6/30/2016,0,857233,814371.35,Partnership for Community Supports,1,ADVERTISED,Non Profit,
1620058,1620058,OFFICE OF BH-MR SERVICES,"Patricia A. Griffin, Ph.D.",General Consultant Services,BH&Criminal Justce Coord,7/1/2015,6/30/2016,0,125000,50792.5,"Patricia A. Griffin, Ph.D.",1,ADVERTISED,For Profit,
1620114,1620114,OFFICE OF BH-MR SERVICES,"Paul E. Poplawski, Ph.D., LLC",General Consultant Services,BH System Transformation,7/15/2015,6/30/2016,0,120000,86550,"Paul E. Poplawski, Ph.D., LLC",1,ADVERTISED,For Profit,
1520315,152031501,OFFICE OF BH-MR SERVICES,"Performance Plus International, Inc",General Consultant Services,Leadership Dev. Training,7/1/2015,6/30/2016,0,347045,121676.4,"Performance Plus International, Inc",1,ADVERTISED,For Profit,
1320509,132050903,OFFICE OF BH-MR SERVICES,Philadelphia  FIGHT,Behavioral Health-MR Services,Drug and Alcohol Services,7/1/2015,6/30/2016,0,71730,68143.5,Philadelphia  FIGHT,9,EXEMPT,Non Profit,
1320519,132051903,OFFICE OF BH-MR SERVICES,Philadelphia Corp For Aging,Behavioral Health-MR Services,Mental Health Services,7/1/2015,6/30/2016,0,63483,60308.85,Philadelphia Corp For Aging,9,EXEMPT,Non Profit,
1520274,152027401,OFFICE OF BH-MR SERVICES,Project H O M E Inc,Behavioral Health-MR Services,Community Coalition,7/1/2015,6/30/2016,0,75000,43362,Project H O M E Inc,1,ADVERTISED,Non Profit,
1320626,132062603,OFFICE OF BH-MR SERVICES,Public Health Management Corporation,Behavioral Health-MR Services,Drug and Alcohol Services,10/1/2015,9/30/2016,91,441854,178231,Public Health Management Corporation,9,EXEMPT,Non Profit,
1520260,152026001,OFFICE OF BH-MR SERVICES,Reese Street Community Center dba Ayuda Community Center,Behavioral Health-MR Services,Community Coalition,7/1/2015,6/30/2016,0,75000,74574.99,Reese Street Community Center dba Ayuda Community Center,1,ADVERTISED,Non Profit,
1620039,1620039,OFFICE OF BH-MR SERVICES,"Resilient Business Solutions, LLC",Computer and Information Svcs,BH IT Consultation,7/1/2015,6/30/2016,0,975000,946293.75,"Resilient Business Solutions, LLC",1,ADVERTISED,For Profit,
1520254,152025401,OFFICE OF BH-MR SERVICES,Resources for Human Development Inc,Behavioral Health-MR Services,Community Coalition,7/1/2015,6/30/2016,0,75000,58709.5,Resources for Human Development Inc,1,ADVERTISED,Non Profit,
1320652,132065203,OFFICE OF BH-MR SERVICES,Rosehill School,Behavioral Health-MR Services,IDS Interim Care,7/1/2015,6/30/2016,0,73997,33539.2,Rosehill School,1,ADVERTISED,For Profit,
1620403,1620403,OFFICE OF BH-MR SERVICES,"Supportive Behavioral Resources, Inc.",Behavioral Health-MR Services,Residential Services,2/15/2016,6/30/2016,0,198116,33397.15,"Supportive Behavioral Resources, Inc.",1,ADVERTISED,For Profit,
1320733,132073304,OFFICE OF BH-MR SERVICES,Temple University,Behavioral Health-MR Services,IDS Community Services,7/1/2015,6/30/2016,0,344432,118807,Temple University,9,EXEMPT,Non Profit,
1320520,132052003,OFFICE OF BH-MR SERVICES,Temple University Hospital,Behavioral Health-MR Services,MH Crisis Response Center,7/1/2015,6/30/2016,0,305055,289802.25,Temple University Hospital,9,EXEMPT,Non Profit,
1320422,132042203,OFFICE OF BH-MR SERVICES,Thomas Jefferson University,Behavioral Health-MR Services,IDS Early Intervention,7/1/2015,6/30/2016,0,241094,193257.7,Thomas Jefferson University,9,EXEMPT,Non Profit,
1320511,132051105,OFFICE OF BH-MR SERVICES,Thomas Jefferson University,Behavioral Health-MR Services,Drug and Alcohol Services,7/1/2015,6/30/2016,0,364970,364870,Thomas Jefferson University,9,EXEMPT,Non Profit,
1320512,132051204,OFFICE OF BH-MR SERVICES,Thomas Jefferson University,Behavioral Health-MR Services,Drug and Alcohol Services,7/1/2015,6/30/2016,0,288267,215130,Thomas Jefferson University,9,EXEMPT,Non Profit,
1320104,132010403,OFFICE OF BH-MR SERVICES,UNITARY,Behavioral Health-MR Services,MH Base Unitary,7/1/2015,6/30/2016,0,172250000,115200591.16,UNITARY,9,EXEMPT,unknown,
1320105,132010503,OFFICE OF BH-MR SERVICES,UNITARY,Behavioral Health-MR Services,Early Interv Unitary,7/1/2015,6/30/2016,0,10250000,5411060.2,UNITARY,9,EXEMPT,unknown,
1320106,132010603,OFFICE OF BH-MR SERVICES,UNITARY,Behavioral Health-MR Services,IDS Base Unitary,7/1/2015,6/30/2016,0,20000000,12731464.15,UNITARY,9,EXEMPT,unknown,
1320108,132010803,OFFICE OF BH-MR SERVICES,UNITARY,Behavioral Health-MR Services,Drug and Alcohol Unitary,7/1/2015,6/30/2016,0,60500000,29778612.06,UNITARY,9,EXEMPT,unknown,
1320165,132016504,OFFICE OF BH-MR SERVICES,UNITARY,Behavioral Health-MR Services,EIP FSS Unitary 3,7/1/2015,6/30/2016,0,7150000,3888490.74,UNITARY,1,ADVERTISED,unknown,
1520099,152009901,OFFICE OF BH-MR SERVICES,UNITARY,Behavioral Health-MR Services,EIP FFS Unitary 4,7/1/2015,6/30/2016,0,13350000,6254791.19,UNITARY,1,ADVERTISED,unknown,
1320657,132065703,OFFICE OF BH-MR SERVICES,"University of Pennsylvania, Trustees of the",General Consultant Services,PACTS Evaluation Team,9/30/2015,9/29/2016,90,100000,44077.18,"University of Pennsylvania, Trustees of the",9,EXEMPT,Non Profit,
1320609,132060904,OFFICE OF BH-MR SERVICES,"Woods Services, Inc.",Behavioral Health-MR Services,IDS Interim Care Services,7/1/2015,6/30/2016,0,7496102,4094838.43,"Woods Services, Inc.",9,EXEMPT,Non Profit,
MPXX16000152,MPXX16000152,OFFICE OF BH-MR SERVICES,"Zakia E. Moore, Esq.",Miscellaneous Order,MENTAL HEALTH SERVICES,7/1/2015,6/30/2016,0,30000,8345,"Zakia E. Moore, Esq.",102,EXEMPT,For Profit,
MPXX16000067,MPXX16000067,OFFICE OF FLEET MANAGEMENT,3E Company Environmental Ecological Eng,Miscellaneous Order,Safety Data Sheets,7/1/2015,6/30/2016,0,4620,4620,3E Company Environmental Ecological Eng,102,EXEMPT,For Profit,
MPXX16000019,MPXX16000019,OFFICE OF FLEET MANAGEMENT,Cascor Incorporated,Miscellaneous Order,Warranty Administration,7/1/2015,6/30/2016,0,30000,26360.5,Cascor Incorporated,102,EXEMPT,For Profit,
MPXX16000245,MPXX16000245,OFFICE OF FLEET MANAGEMENT,"Healthmark, Inc.",Miscellaneous Order,Medical Surveillance,10/16/2015,6/30/2016,0,15000,7833,"Healthmark, Inc.",102,EXEMPT,For Profit,
MPXX16000063,MPXX16000063,OFFICE OF FLEET MANAGEMENT,LEA Environmental LLC,Miscellaneous Order,Health & Safety Consultin,7/1/2015,6/30/2016,0,25000,21480,LEA Environmental LLC,102,EXEMPT,For Profit,
1620050,1620050,OFFICE OF HOUSING & COMMUNITY DEV,1260 Housing Development Corporation,Housing & Economic Development,RENTAL ASSISTANCE,7/1/2015,6/30/2016,0,305500,220828,1260 Housing Development Corporation,9,EXEMPT,Non Profit,
1620032,162003201,OFFICE OF HOUSING & COMMUNITY DEV,"ActionAIDS, Inc. DBA Action Wellenss",Housing & Economic Development,HOPWA TBRA,7/1/2015,6/30/2016,0,422500,389042,"ActionAIDS, Inc. DBA Action Wellenss",9,EXEMPT,Non Profit,
1620033,1620033,OFFICE OF HOUSING & COMMUNITY DEV,"ActionAIDS, Inc. DBA Action Wellenss",Housing & Economic Development,Housing First TBRA,4/1/2016,3/31/2017,273,264465,41489,"ActionAIDS, Inc. DBA Action Wellenss",9,EXEMPT,Non Profit,
1620154,1620154,OFFICE OF HOUSING & COMMUNITY DEV,Affordable Housing Centers of Pennsylvania,Housing & Economic Development,Housing Counseling,8/1/2015,7/31/2016,30,173900,117938,Affordable Housing Centers of Pennsylvania,9,EXEMPT,Non Profit,
1620103,1620103,OFFICE OF HOUSING & COMMUNITY DEV,"Asociacion Puertorriquenos En Marcha, Inc.",Housing & Economic Development,Housing Counseling,11/1/2015,10/31/2016,122,75000,37124,"Asociacion Puertorriquenos En Marcha, Inc.",9,EXEMPT,Non Profit,
1620041,1620041,OFFICE OF HOUSING & COMMUNITY DEV,Calcutta House,Housing & Economic Development,Supportive Services,7/1/2015,6/30/2016,0,235000,223886,Calcutta House,9,EXEMPT,Non Profit,
1620051,1620051,OFFICE OF HOUSING & COMMUNITY DEV,Catholic Social Services,Housing & Economic Development,SUPPORTIVE SERVICES,7/1/2015,6/30/2016,0,313000,290664,Catholic Social Services,9,EXEMPT,Non Profit,
1620104,1620104,OFFICE OF HOUSING & COMMUNITY DEV,Ceiba Incorporated,Housing & Economic Development,Earned Income Tax Credit,9/1/2015,8/31/2016,61,25000,25000,Ceiba Incorporated,9,EXEMPT,Non Profit,
1520365,152036501,OFFICE OF HOUSING & COMMUNITY DEV,Center in the Park,Housing & Economic Development,Housing Counseling,10/1/2015,5/31/2016,0,0,0,Center in the Park,9,EXEMPT,Non Profit,
1620187,1620187,OFFICE OF HOUSING & COMMUNITY DEV,Center in the Park,Housing & Economic Development,Housing Counseling,10/1/2015,9/30/2016,91,129720,77933,Center in the Park,9,EXEMPT,Non Profit,
1620105,1620105,OFFICE OF HOUSING & COMMUNITY DEV,Clarifi,Housing & Economic Development,Housing Counseling,7/1/2015,6/30/2016,0,120570,89068,Clarifi,9,EXEMPT,Non Profit,
1620034,1620034,OFFICE OF HOUSING & COMMUNITY DEV,Community Design Collaborative,Housing & Economic Development,Community Planning,9/1/2015,8/31/2016,61,100000,58575,Community Design Collaborative,9,EXEMPT,Non Profit,
1620106,162010601,OFFICE OF HOUSING & COMMUNITY DEV,Community Legal Services,Housing & Economic Development,Housing Counseling/Forecl,7/1/2015,6/30/2016,0,420000,418548,Community Legal Services,9,EXEMPT,Non Profit,
1620042,1620042,OFFICE OF HOUSING & COMMUNITY DEV,Congreso De Latinos Unidos Inc,Housing & Economic Development,Rental assistance,7/1/2015,6/30/2016,0,816397,691169,Congreso De Latinos Unidos Inc,9,EXEMPT,Non Profit,
1620043,1620043,OFFICE OF HOUSING & COMMUNITY DEV,Congreso De Latinos Unidos Inc,Housing & Economic Development,HOUSING COUNSELING,10/1/2015,9/30/2016,91,155100,76312,Congreso De Latinos Unidos Inc,9,EXEMPT,Non Profit,
1620054,1620054,OFFICE OF HOUSING & COMMUNITY DEV,County of Delaware,Housing & Economic Development,HOPWA HOUSING SUBSIDIES,7/1/2015,6/30/2016,0,666750,513136,County of Delaware,8,EXEMPT,Non Profit,
1620167,1620167,OFFICE OF HOUSING & COMMUNITY DEV,"Diversified Community Services, Inc",Housing & Economic Development,Housing Counseling,9/1/2015,8/31/2016,61,122200,78051,"Diversified Community Services, Inc",9,EXEMPT,Non Profit,
MPXX16000343,MPXX16000343,OFFICE OF HOUSING & COMMUNITY DEV,"EConsult Solutions, Inc",Miscellaneous Order,Technical Assistance,3/1/2016,6/30/2016,0,30500,30500,"EConsult Solutions, Inc",102,EXEMPT,For Profit,
1620063,1620063,OFFICE OF HOUSING & COMMUNITY DEV,Energy Coordinating Agency of Phila Inc,Housing & Economic Development,Energy Assistance,7/1/2015,6/30/2016,0,522000,424898,Energy Coordinating Agency of Phila Inc,9,EXEMPT,Non Profit,
1620065,1620065,OFFICE OF HOUSING & COMMUNITY DEV,Family Service Association of Bucks County,Housing & Economic Development,HOPWA Housing Subsidies,7/1/2015,6/30/2016,0,305895,232161.09,Family Service Association of Bucks County,9,EXEMPT,Non Profit,
1620066,162006601,OFFICE OF HOUSING & COMMUNITY DEV,Family Service of Chester County,Housing & Economic Development,HOPWA Housing Subsidies,7/1/2015,6/30/2016,0,162057,126046.23,Family Service of Chester County,9,EXEMPT,Non Profit,
1620067,1620067,OFFICE OF HOUSING & COMMUNITY DEV,Family Services,Housing & Economic Development,HOPWA Rental Assistance,7/1/2015,6/30/2016,0,84848,49468.31,Family Services,9,EXEMPT,Non Profit,
1620095,1620095,OFFICE OF HOUSING & COMMUNITY DEV,"Friends Rehabilitation Programs, Inc.",Housing & Economic Development,TRANSITIONAL HOUSING PROG,7/1/2015,6/30/2016,0,1145628,1077822,"Friends Rehabilitation Programs, Inc.",9,EXEMPT,Non Profit,
1620052,1620052,OFFICE OF HOUSING & COMMUNITY DEV,Gaudenzia Inc,Housing & Economic Development,HOPWA HOUSING SUBSIDIES,7/1/2015,6/30/2016,0,123500,87951,Gaudenzia Inc,9,EXEMPT,Non Profit,
1620178,1620178,OFFICE OF HOUSING & COMMUNITY DEV,"Greater Philadelphia Asian Social Services Center, Inc.",Housing & Economic Development,Housing Counseling,8/1/2015,7/31/2016,30,78000,19467,"Greater Philadelphia Asian Social Services Center, Inc.",9,EXEMPT,Non Profit,
1620044,1620044,OFFICE OF HOUSING & COMMUNITY DEV,Hispanic Assoc of Contractors & Enterprises,Housing & Economic Development,HOUSING COUNSELING,11/1/2015,10/31/2016,122,224600,142130,Hispanic Assoc of Contractors & Enterprises,9,EXEMPT,Non Profit,
1620165,1620165,OFFICE OF HOUSING & COMMUNITY DEV,Intercommunity Action Inc,Housing & Economic Development,Housing Counseling,7/1/2015,6/30/2016,0,100000,92510,Intercommunity Action Inc,9,EXEMPT,Non Profit,
1620169,1620169,OFFICE OF HOUSING & COMMUNITY DEV,Intercultural Family Services Inc,Housing & Economic Development,Housing Counseling,7/1/2015,6/30/2016,0,107160,96579,Intercultural Family Services Inc,9,EXEMPT,Non Profit,
1620045,1620045,OFFICE OF HOUSING & COMMUNITY DEV,Keystone Hospice,Housing & Economic Development,OPERATING COSTS,7/1/2015,6/30/2016,0,75000,62500,Keystone Hospice,9,EXEMPT,Non Profit,
1620197,1620197,OFFICE OF HOUSING & COMMUNITY DEV,Korean Community Development Services Center,Housing & Economic Development,Housing Counseling,11/1/2015,10/31/2016,122,100000,45051,Korean Community Development Services Center,9,EXEMPT,Non Profit,
1620126,1620126,OFFICE OF HOUSING & COMMUNITY DEV,"Liberty Resources, Inc.",Housing & Economic Development,Housing Counseling,7/1/2015,6/30/2016,0,110920,0,"Liberty Resources, Inc.",9,EXEMPT,Non Profit,
1420322,142032202,OFFICE OF HOUSING & COMMUNITY DEV,Local Initiatives Support Corporation,Housing & Economic Development,Recoverable Grant,11/1/2015,10/31/2016,122,0,0,Local Initiatives Support Corporation,9,EXEMPT,Non Profit,
1620217,1620217,OFFICE OF HOUSING & COMMUNITY DEV,Local Initiatives Support Corporation,Housing & Economic Development,Non-Profit Capacity Build,10/1/2015,9/30/2016,91,100000,6083,Local Initiatives Support Corporation,9,EXEMPT,Non Profit,
1620035,162003501,OFFICE OF HOUSING & COMMUNITY DEV,Mazzoni Center,Housing & Economic Development,HOPWA Rental Assistance,7/1/2015,6/30/2016,0,1587520,1242357,Mazzoni Center,9,EXEMPT,Non Profit,
